Series,Date,PM,NO,NO2,Nox,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,O Xylene,Temperature,RH,WS,WD,SR,BP,VWS,RF,Mixing Height 
113,23-Apr-2019 - 00:00,48.3,3.38,34.47,37.86,24.47,7.32,0.35,39.58,7.86,14.29,1.18,0.81,29.27,58.28,0.5,174.85,201.1,1003.86,0,,1.4972
114,24-Apr-2019 - 00:00,46.01,4.56,32.77,37.34,19.8,4.44,0.3,21.46,8.49,10.96,1.08,0.59,29.53,61.72,0.52,173.89,195.98,1004.28,0,,1.4972
115,25-Apr-2019 - 00:00,41.23,7.34,30.86,38.19,14.32,3.51,0.25,14.75,5.17,9.46,0.7,0.5,29.31,68.53,0.7,182.48,199.32,1003.51,0,,1.4972
116,26-Apr-2019 - 00:00,49.32,6.6,27.84,34.44,13.61,2.67,0.27,17.6,6.39,11.36,0.35,0.52,29.38,68.83,0.83,199.96,209.81,1001.58,0,,1.4972
117,27-Apr-2019 - 00:00,57.43,5.88,29.33,35.21,11.44,2.39,0.3,14.01,5.91,12.71,0.58,0.42,30.32,69.55,1.04,211.17,185.03,1000.21,0,,1.4972
118,28-Apr-2019 - 00:00,49.09,5.53,19.8,25.32,9.15,2.23,0.22,12.67,3.19,6.38,0.38,0.27,30.51,69.91,1.14,210.48,197.91,1000.14,0,,1.4972
119,29-Apr-2019 - 00:00,29.77,7.14,19.35,26.47,8.14,2.17,0.21,12.72,3.64,10.24,0.34,0.37,29.85,70.71,1.4,209.08,200.15,1000.47,-0.01,,1.4972
120,30-Apr-2019 - 00:00,31.26,7.2,21.03,28.23,4.84,2.33,0.24,19.1,4.68,12.74,0.27,0.39,29.59,64.6,1.48,208.19,195.03,1000.89,-0.01,,1.4972
121,01-May-2019 - 00:00,24.03,6.54,24.57,31.1,10.45,2.24,0.16,25.31,4.19,6.03,0.11,0.28,29.65,67.55,1.3,205.12,177.05,1000.99,0.01,,1.170331
122,02-May-2019 - 00:00,29.7,3.99,17.58,21.57,10.42,2.02,0.15,26.74,2.44,6.69,0.05,0.27,29.06,71.11,0.56,189.4,115.43,1001.21,0,,1.170331
123,03-May-2019 - 00:00,18.02,3.52,9.98,13.49,11.77,1.66,0.16,33.09,1.96,4.09,0.07,0.24,25.92,82.9,0.89,68.33,54.24,998.28,-0.04,,1.170331
124,04-May-2019 - 00:00,26.75,8.34,30.23,38.56,10.98,3.24,0.35,33.56,3.35,6.99,0.07,0.49,24.36,83.85,0.96,200.27,113.78,997.23,-0.04,,1.170331
125,05-May-2019 - 00:00,59.95,16.26,39.21,55.47,7.66,3.56,0.39,33.54,10.6,15.17,0.01,0.76,28,74.6,0.74,193.14,202.77,1002.63,0,,1.170331
126,06-May-2019 - 00:00,60.44,3.69,29.09,32.78,7.14,2.5,0.28,42,4.97,9.42,0.04,0.44,30.15,67.27,0.82,212.66,219.82,1000.38,0,,1.170331
127,07-May-2019 - 00:00,71.29,3.57,35.1,38.67,5.74,1.87,0.29,42.43,7.29,14.11,0.02,0.52,30.15,68.51,0.91,208.37,208.52,998.85,0,,1.170331
128,08-May-2019 - 00:00,74.79,4.35,35.07,39.42,5.25,1.77,0.29,41.48,6.93,13.1,0.02,0.05,30.49,72.31,0.88,207.27,199.88,997.7,0,,1.170331
129,09-May-2019 - 00:00,75.37,3.48,30.57,34.05,5.32,2.4,0.29,43.11,,,,,30.64,73.72,0.96,206.1,193.97,996.86,0.01,,1.170331
130,10-May-2019 - 00:00,71.27,3,24.75,27.75,3.73,2.52,0.32,44.39,9.07,15.68,,,30.81,73.05,0.89,205.79,196.52,998.73,0.01,,1.170331
131,11-May-2019 - 00:00,62.46,3.48,23.81,27.29,15.93,1.89,0.29,38.86,4.88,11.16,,,30.43,70.57,1.02,208.03,200.62,1000.87,0.01,,1.170331
132,12-May-2019 - 00:00,59.22,3.03,16.16,19.2,11.83,1.69,0.23,35.74,2.48,4.42,,,30.34,71.27,0.87,204.19,177.44,1000.49,0.01,,1.170331
133,13-May-2019 - 00:00,51.12,3.24,17.12,20.37,8.71,2.06,0.24,37,3.9,8.6,,,29.64,71.54,0.75,194.31,168.29,999.99,0,,1.170331
134,14-May-2019 - 00:00,40.79,3.66,24.17,27.71,10.75,3.74,0.27,29.5,4.38,11.56,0.1,,28.21,68.07,0.58,148.09,169.07,1000.7,0,,1.170331
135,15-May-2019 - 00:00,47.64,3.83,31.29,35.12,8.49,2.39,0.27,19.68,6.74,14.74,0.23,,30.27,65.62,0.62,199.51,187.78,1001.34,0,,1.170331
136,16-May-2019 - 00:00,51.48,3.51,31.6,35.11,9.31,2.21,0.31,27.55,8.4,13.12,0.16,,31.07,65.73,0.53,195.71,195.37,1001.72,0,,1.170331
137,17-May-2019 - 00:00,59.77,3.88,26.66,30.56,9.09,2.14,0.28,25.32,6.78,12.69,0.13,,31.61,72.3,0.78,206.45,197.15,1000.19,0.01,,1.170331
138,18-May-2019 - 00:00,57.43,3.76,18.7,22.46,8.97,2.75,0.26,22.66,5.9,12.02,0.14,,31.99,71.47,0.73,204.84,189.23,999.69,0.01,,1.170331
139,19-May-2019 - 00:00,58.44,4.43,18.12,22.55,10.27,4.12,0.26,22.66,,,,,31.24,70.25,0.5,189.59,151.72,1001.53,0,,1.170331
140,20-May-2019 - 00:00,45.47,5.19,20.57,25.68,7.49,4.07,0.24,14.18,6.21,10.52,0.14,,31.68,71.88,0.57,184.69,179.23,1002.41,0,,1.170331
141,21-May-2019 - 00:00,44.43,4.29,20.91,25.2,5.82,2.13,0.26,14.33,5.49,12.49,0.2,,31.4,70.76,0.79,204.28,190.85,1001.64,0.01,,1.170331
142,22-May-2019 - 00:00,43.75,3.97,18.49,22.45,6.97,3.05,0.25,14.86,3.85,7.84,0.12,,31.63,69.47,0.84,186.65,180.22,1000.36,0,,1.170331
143,23-May-2019 - 00:00,34.25,3.39,12.57,15.94,7.08,2.53,0.23,15.58,3.86,9.4,0.09,,30.12,67.18,1.05,162.67,156.92,1000.89,0,,1.170331
144,24-May-2019 - 00:00,38.75,4.42,25.54,29.95,7.53,2.25,0.24,15.45,7,14.5,0.25,,31.34,66.39,1.03,206.34,182.77,998.93,0.01,,1.170331
145,25-May-2019 - 00:00,37,4.75,27.45,32.21,8.53,2.27,0.26,18.55,6.77,13.04,0.21,,28.55,75.7,0.96,199.75,116.45,997.93,0.01,,1.170331
146,26-May-2019 - 00:00,42.08,4,31.14,35.15,9.08,2.62,0.25,21.55,4.57,6.31,0.22,,30.31,73,0.7,199.9,181.52,998.55,0,,1.170331
147,27-May-2019 - 00:00,54.32,4.14,22.57,26.7,8.97,2.41,0.23,20.61,4.91,12.71,0.17,,31.5,70.95,0.97,211.33,177.14,998.57,0,,1.170331
148,28-May-2019 - 00:00,48.33,3.48,20.3,23.77,9.07,2.09,0.23,21.13,4.83,12.31,0.2,,31.3,70.24,0.85,197.46,172.73,998.53,0,,1.170331
149,29-May-2019 - 00:00,49.79,3.12,19,22.13,7.61,2.28,0.25,23.9,6.09,10.94,0.16,,31.62,68.59,0.63,183.67,166.34,997.83,0,,1.170331
150,30-May-2019 - 00:00,40.28,3.76,17.56,21.31,7.04,2.33,0.23,20.85,5.63,12.02,0.09,,31.28,70.28,0.96,210.76,155.3,997.75,0,,1.170331
151,31-May-2019 - 00:00,35.13,4.35,15.94,20.29,6.71,2.25,0.2,15.45,2.5,5.8,0.11,,30.41,68.68,0.99,176.79,148.52,998.82,0,,1.170331
152,01-Jun-2019 - 00:00,43.18,3.24,24.96,28.2,6.82,2.51,0.24,20.26,5.97,13.62,0.25,0.04,31.07,64.7,0.71,171.23,155.95,998.83,0,,1.170331
153,02-Jun-2019 - 00:00,33.78,3.98,25.01,28.99,7.61,2.23,0.2,19.55,3.76,3.15,0.03,,28.43,76.07,0.98,174.78,106.94,999.61,-0.01,,1.170331
154,03-Jun-2019 - 00:00,45.34,3.55,38.31,41.85,9.48,5.6,0.31,40.49,5.54,7.43,0.27,,29.41,67.03,0.51,176.64,153.89,999.25,0,,1.170331
155,04-Jun-2019 - 00:00,41.27,3.97,29.49,33.47,9.15,3,0.25,18.2,3.94,8.47,0.13,,30.3,70.45,0.88,210.26,137.17,998.62,0,,1.170331
156,05-Jun-2019 - 00:00,34.66,3.98,23.27,27.25,10.07,2.14,0.26,16.02,3.33,7.32,0.08,,27.96,80.24,0.66,173.78,64.57,997.82,-0.01,,1.170331
157,06-Jun-2019 - 00:00,25.78,3.22,15.2,18.42,9.57,2.36,0.22,18.65,2.78,4.99,0.13,,28.53,78.71,0.61,74.61,137.63,998.65,-0.01,,1.170331
158,07-Jun-2019 - 00:00,22.87,2.74,13.52,16.27,8.9,2.45,0.21,23.42,3.65,3.78,0.13,,28.47,77.8,0.49,89.88,87.57,999.78,-0.01,,1.170331
159,08-Jun-2019 - 00:00,24.55,2.82,12.14,14.96,8.81,2.28,0.22,21.68,2.14,3.62,0.09,,29.96,71.97,0.6,76.17,143.21,998.63,-0.01,,1.170331
160,09-Jun-2019 - 00:00,42.35,3.09,18.49,21.58,8.71,2.18,0.24,26.6,3.16,3.31,0.05,,31.35,70.9,0.5,209.47,142.05,996.8,-0.01,,1.170331
161,10-Jun-2019 - 00:00,45.6,2.83,14.68,17.54,8.66,2.25,0.18,27.97,2.31,5.16,0.05,,31.65,71.63,0.6,207.2,157.46,995.67,0,,1.170331
162,11-Jun-2019 - 00:00,38.21,2.66,12.31,14.97,8.59,2.11,0.18,26.56,2.03,5.58,0.09,,31.67,69.97,0.5,185.48,157.27,995.53,-0.01,,1.170331
163,12-Jun-2019 - 00:00,35.87,2.46,10.5,12.96,8.3,2.2,0.2,19.6,3.16,5.28,0.07,,31.44,74.42,0.42,198.11,138.04,995.76,-0.01,,1.170331
164,13-Jun-2019 - 00:00,55.87,2.79,34.27,37.07,7.79,2.38,0.42,34.98,8.33,15.02,0.12,,30.5,69.73,0.37,192.71,157.21,994.89,0,,1.170331
165,14-Jun-2019 - 00:00,57.75,2.69,27.06,29.75,7.04,2.26,0.36,40.21,6.48,8.3,0.09,,32.42,69.36,0.48,174.52,153.1,993.57,0,,1.170331
166,15-Jun-2019 - 00:00,42.58,3.59,24.03,27.62,5.52,1.92,0.27,23.35,5.95,10.16,0.11,,29.99,75.29,0.79,196.38,96.01,994.12,0.01,,1.170331
167,16-Jun-2019 - 00:00,40.96,2.95,20.81,23.76,5.8,2.08,0.25,29.25,2.96,5.33,0.22,,31.64,69.13,0.8,212.46,165.69,994.02,0,,1.170331
168,17-Jun-2019 - 00:00,64.42,3.56,29.66,33.22,6.82,2.09,0.39,28.53,14.49,20.09,0.44,,31.69,70.12,0.58,212.59,114.54,994.3,0,,1.170331
169,18-Jun-2019 - 00:00,55.58,4.75,29.04,33.8,6.13,2.12,0.33,23.71,7.29,9.11,0.11,,30.35,79.12,0.28,142.93,109.83,994.9,-0.01,,1.170331
170,19-Jun-2019 - 00:00,57.52,3.38,20.54,23.86,5.79,2.35,0.3,37.61,5.46,8.97,0.11,,31.21,75.63,0.35,135.05,169.44,995.16,0,,1.170331
171,20-Jun-2019 - 00:00,48.71,3.82,22.23,26.06,8.2,2.43,0.32,14.18,6.97,11.34,0.1,,30.6,73.76,0.27,163.33,129.49,996.44,0,,1.170331
172,21-Jun-2019 - 00:00,22.24,3.41,13.79,17.2,7.9,2.15,0.24,14.69,2.74,5.57,0.09,,28.96,81.26,0.83,85.52,97.63,996.25,-0.02,,1.170331
173,22-Jun-2019 - 00:00,21.59,3.63,15.95,19.58,7.24,2.16,0.24,9.92,4.08,10.51,0.12,,29.58,75.72,0.63,170.18,152.73,997.77,0,,1.170331
174,23-Jun-2019 - 00:00,21.79,3.82,11.62,15.45,8.17,2.31,0.17,4.54,1.69,4.44,0.05,,30.38,72.54,0.46,207.19,152.57,998.97,0,,1.170331
175,24-Jun-2019 - 00:00,30.07,4.31,21.96,26.25,8.95,1.84,0.27,10.33,3.75,9.12,0.17,,30.58,73.06,0.67,202.77,143.61,999.93,0,,1.170331
176,25-Jun-2019 - 00:00,26.59,5.79,20.45,26.23,10.15,2.02,0.23,12.88,2.41,7.15,0.07,,31.15,70.32,0.98,210.33,174.15,999.61,0,,1.170331
177,26-Jun-2019 - 00:00,25.31,6.18,17.68,23.86,10.44,2.72,0.2,10.69,5.6,17.8,0.23,,31.07,69.92,1.16,208.03,164.25,997.76,0,,1.170331
178,27-Jun-2019 - 00:00,32.43,6.77,33.23,40.02,7.74,3.68,0.23,12.48,3.54,13.28,0.16,,30.93,71.66,1,209.24,133.4,995.4,0,,1.170331
179,28-Jun-2019 - 00:00,45.25,4.81,39.67,44.48,12.45,5.61,0.31,34.18,6.73,14.25,0.13,,29.8,73.64,0.72,213.66,88.24,994.14,0,,1.170331
180,29-Jun-2019 - 00:00,56.93,7.78,37.01,44.79,11.23,4.05,0.44,28.2,8.76,12.81,0.23,0.02,29.5,79.82,0.44,163.15,92.74,993.54,0,,1.170331
181,30-Jun-2019 - 00:00,63.71,11.58,38.57,50.14,11.85,5.81,0.48,13.12,9.13,14.14,0.34,,28.63,81.57,0.45,132.94,119.65,993.49,0,,1.170331
182,01-Jul-2019 - 00:00,26.77,5.32,18.03,23.36,12.03,3.77,0.23,17.09,3.56,6.1,0.14,0.02,28.74,80.81,1.18,53.63,145.01,991.56,-0.03,,1.170331
183,02-Jul-2019 - 00:00,25.68,4.31,14.62,18.93,10.86,3.59,0.21,27.35,1.95,19.89,0.13,,28.3,83.99,0.6,115.88,120.46,992.54,-0.02,,1.170331
184,03-Jul-2019 - 00:00,31.37,4.21,29.28,33.49,12.12,5.55,0.28,37.84,5.82,34.59,0.29,,28.99,77.94,0.47,199.62,160.87,994.59,0,,1.170331
185,04-Jul-2019 - 00:00,48.56,4.4,37.91,42.29,12.98,9.18,0.35,30.65,6.29,14.49,0.12,,30.17,73.25,0.43,211.21,98.57,993.54,0,,1.170331
186,05-Jul-2019 - 00:00,33.17,4.25,19.78,24.01,12.3,7.22,0.25,22,3.79,7.08,0.09,,29.27,77.85,0.55,95.56,110.07,990.89,-0.01,,1.170331
187,06-Jul-2019 - 00:00,43.49,8.7,41.34,50.05,10.49,7.74,0.38,12.42,6.36,15.92,0.18,,28.09,83.86,0.46,211.12,85.53,989.22,0,,1.170331
188,07-Jul-2019 - 00:00,30.94,6.46,28.69,35.16,10.76,7.73,0.26,18.33,2.31,5.59,0.06,,28.51,77.15,0.79,209.72,90.26,991.89,0,,1.170331
189,08-Jul-2019 - 00:00,39.64,6.04,36.77,42.81,9.14,6.81,0.23,21.76,3.83,12.71,0.13,,29.66,75.49,0.91,209.8,115.41,994.16,0,,1.170331
190,09-Jul-2019 - 00:00,40.54,6.83,38.43,45.26,7.56,7.17,0.27,21.01,5.71,16.79,1.18,0.47,30.14,74.84,0.95,209.54,132.25,994.63,0,,1.170331
191,10-Jul-2019 - 00:00,39.67,9.87,42.73,52.6,7.56,5.63,0.31,19.49,9.19,21.59,3.64,1.13,29.41,77.27,0.79,209.54,120.31,994.77,0,,1.170331
192,11-Jul-2019 - 00:00,42.27,8.38,42,50.37,7.56,4.68,0.26,18.52,6.8,19.43,2.42,0.94,29.26,78.7,0.87,211.36,76.27,996.98,0,,1.170331
193,12-Jul-2019 - 00:00,44.78,6.56,41.8,48.35,7.41,7.86,0.26,22.91,5.7,18.32,2.65,0.95,29.62,76.88,0.83,211.42,95.31,998.44,0,,1.170331
194,13-Jul-2019 - 00:00,52.12,6.05,38.26,44.31,5.81,5.74,0.26,32.43,4.15,15.86,1.91,0.69,30.56,74.63,0.86,211.11,138.77,997.68,0,,1.170331
195,14-Jul-2019 - 00:00,54.66,5.26,37.79,43.05,5.56,7.54,0.27,40.86,2.91,6.74,1.3,0.48,31.52,68.48,0.74,211.74,159.64,995.85,0,,1.170331
196,15-Jul-2019 - 00:00,62.99,5.35,44.72,50.07,5.88,10.97,0.31,38.06,6.6,15.83,2.45,0.92,31.86,67.02,0.61,215.73,127.3,995.1,0,,1.170331
197,16-Jul-2019 - 00:00,60.97,5.93,50.61,56.53,5.82,9.82,0.32,31.3,9.01,23.93,3.59,1.44,30.34,69.39,0.39,199.16,103.48,996.75,-0.01,,1.170331
198,17-Jul-2019 - 00:00,68.04,15.32,40.34,55.66,6.25,5.78,0.38,27.31,9.96,16.87,4.69,1.96,31.45,66.49,0.36,131.16,172.1,996.61,0,,1.170331
199,18-Jul-2019 - 00:00,55.51,6.03,26.37,32.39,7.53,2.81,0.2,20.98,3.27,8.88,1.34,0.5,31.39,68.9,0.47,154.12,153.42,996.54,0,,1.170331
200,19-Jul-2019 - 00:00,20.01,4.48,15.28,19.76,9.16,1.88,0.14,22.44,2.3,7.16,0.78,0.35,30.99,67.67,0.54,125.77,148.93,997.57,-0.01,,1.170331
201,20-Jul-2019 - 00:00,31.43,5.63,21.82,27.44,7.55,1.88,0.17,24.41,3.77,12.34,1.23,0.5,30.76,69.19,0.56,215.72,156.32,999.07,0,,1.170331
202,21-Jul-2019 - 00:00,39.55,5.64,23.35,28.99,8.43,4.85,0.18,28.04,1.98,6.54,0.87,0.35,30.8,70.12,0.78,211.14,185.35,999.12,0,,1.170331
203,22-Jul-2019 - 00:00,31.15,8.46,25.45,33.91,8.42,3.66,0.18,18.1,2.87,12.92,1.31,0.51,31.01,69.07,0.87,211.78,186.33,998.53,0,,1.170331
204,23-Jul-2019 - 00:00,26.06,11.93,26.29,38.23,8.35,5.61,0.17,15.22,3.65,15.52,1.45,0.58,30.78,67.44,0.84,210.62,160.14,997.78,0,,1.170331
205,24-Jul-2019 - 00:00,24.24,9.03,28.82,37.84,9,4.94,0.15,22.72,2.68,13.03,1.53,0.55,30.23,70.61,0.6,210.76,154.68,997.32,-0.01,,1.170331
206,25-Jul-2019 - 00:00,53.31,7.16,51.37,58.53,9.51,9.9,0.36,32.8,9.22,21.66,3.18,1.25,29.28,75.23,0.32,214.73,119.75,996.99,0,,1.170331
207,26-Jul-2019 - 00:00,45.98,8.12,40.4,48.52,12.14,4.41,0.29,21.59,5.09,13.76,2.35,0.82,27.7,84.52,0.34,153.32,87.31,994.77,0,,1.170331
208,27-Jul-2019 - 00:00,29.79,7.07,29.86,36.93,13.94,2.87,0.23,22.23,5.57,14.22,2.22,0.85,28.41,80.31,0.23,149.84,137.66,994.08,0,,1.170331
209,28-Jul-2019 - 00:00,14.11,5.7,13.96,19.65,13.81,2.15,0.13,19.84,1.17,5.72,0.67,0.3,27.95,84.03,0.84,53.32,130.51,994.77,-0.02,,1.170331
210,29-Jul-2019 - 00:00,13.58,9.13,17.66,26.79,12.5,1.83,0.16,24.14,1.49,9.22,0.97,0.39,27.2,87.21,0.4,144.6,128.93,996.16,-0.01,,1.170331
211,30-Jul-2019 - 00:00,29.66,13,33.62,46.62,10.82,1.18,0.24,17.82,8.91,20.25,2.7,1.02,28.43,80.27,0.52,210.29,126.39,998.07,0,,1.170331
212,31-Jul-2019 - 00:00,34.9,10.22,40.45,50.67,12.62,1.93,0.26,22.28,8.78,19.86,3.06,1.16,29.09,74.91,0.44,213.78,110.11,996.86,0,,1.170331
213,01-Aug-2019 - 00:00,32.62,9.78,33.24,43.01,13.7,3.36,0.2,27.33,6.24,14.65,2.17,0.78,29.72,71.28,0.37,188.59,156.48,995.68,0,,1.170331
214,02-Aug-2019 - 00:00,21.97,9.53,23.44,32.97,16.17,1.3,0.21,18.24,6.26,15.37,2.18,0.89,28.79,79.48,0.4,112.31,125.32,994.34,0,,1.170331
215,03-Aug-2019 - 00:00,32.14,13.89,36.33,50.22,17.76,1,0.3,8.1,9.7,21.37,3.37,1.33,28.5,83.37,0.33,132.97,97.41,993.57,0,,1.170331
216,04-Aug-2019 - 00:00,50.2,13.21,46.29,59.51,16.64,1.46,0.38,16.22,5.55,11.24,3.08,1.15,28.94,82.43,0.32,218.19,128.03,992.44,0,,1.170331
217,05-Aug-2019 - 00:00,40.43,13.26,32.82,46.01,13.81,1.54,0.34,15.28,5.78,11.77,2.94,1.1,30.13,77.84,0.44,162.86,154.59,990.35,0,,1.170331
218,06-Aug-2019 - 00:00,32.41,13.06,29.55,42.6,18.6,3.53,0.24,10.99,4.55,12.17,2.23,0.8,28.63,81.19,0.83,96.09,110.26,988.5,-0.02,,1.170331
219,07-Aug-2019 - 00:00,9.84,8.6,14.06,22.65,13.76,3.2,0.13,27.28,1.24,5.6,0.7,0.3,26.98,88.33,1.16,86.98,105.18,986.7,-0.08,,1.170331
220,08-Aug-2019 - 00:00,14.47,11.9,24.33,36.22,11.89,3.46,0.18,20.24,5.25,17.09,1.74,0.75,26.42,91.61,0.46,212.56,100.57,990.21,0,,1.170331
221,09-Aug-2019 - 00:00,35.32,5.85,40.78,47.26,11.86,60.72,0.36,24.98,9.92,14.4,3.17,1.32,27.73,74.43,0.31,176.68,103.3,995.24,0,,1.170331
222,10-Aug-2019 - 00:00,72.22,20.42,57.86,78.29,12.53,16.78,0.57,27.43,8.29,24.08,5.16,2.15,30.45,72.73,0.29,212.33,214.23,994.82,0,,1.170331
223,11-Aug-2019 - 00:00,68.18,32.61,48.74,81.36,13.62,16.67,0.49,20.8,14.61,22.06,7.26,3.11,30.35,75.61,0.39,155.43,152.31,993.86,0,,1.170331
224,12-Aug-2019 - 00:00,45.26,10.23,27.32,37.54,14.16,17.38,0.41,12.57,5.9,10.25,2.1,0.76,28.35,85.33,0.45,155.37,85.28,992.94,0,,1.170331
225,13-Aug-2019 - 00:00,19.77,8.06,22.22,30.27,8.39,16.74,0.21,24.41,2.92,15.28,1.46,0.54,27.29,86.72,0.48,179.82,56.91,995.02,0,,1.170331
226,14-Aug-2019 - 00:00,41.74,9.23,31.8,41.04,7.82,16.08,0.22,25.35,4.59,15.32,2.53,0.92,28.37,81.54,0.51,219.06,96.33,998.31,0,,1.170331
227,15-Aug-2019 - 00:00,34.02,11.52,29.55,41.07,7.84,17.15,0.25,25.59,3.52,9.52,1.72,0.58,26.76,90.81,0.46,226.88,85.59,1000.64,0,,1.170331
228,16-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,1.170331
229,17-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,1.170331
230,18-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,1.170331
231,19-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,1.170331
232,20-Aug-2019 - 00:00,66.28,12.64,55.58,64.15,17.47,4.95,0.35,27.01,6.86,13.62,2.9,1.42,29.24,80.04,0.35,164.89,83.62,998.38,-0.01,,1.170331
